launch,partner,category,shape,title,handle,score,partner_rank,price_usd,colour,family,why,exclude,collections,created
wave1-A,junerings,ring,moval,Alba | Moval Champagne,alba-moval-champagne,36,19,,champagne,alba champagne,moval +12; partner best-seller \#19 +22; fancy colour champagne,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,radiant,Amber || Radiant,amber-radiant,36,21,,,amber,radiant +14; partner best-seller \#21 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,marquise,Sutton || Marquise,sutton-cushion-copy,36,21,,,sutton,marquise +14; partner best-seller \#21 +22,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,radiant,Bay || Radiant,bay-radiant,36,23,,,bay,radiant +14; partner best-seller \#23 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,other,Juno,juno,34,5,,,juno,other +4; partner best-seller \#5 +30,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,moval,Ivory || Moval,ivory-moval,34,11,,,ivory,moval +12; partner best-seller \#11 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,old-euro,Arden || Euro Cut,arden-euro-cut,34,13,,,arden,old-euro +12; partner best-seller \#13 +22,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,cushion,Estelle || Rose cut Cushion,estelle-rose-cut-cushion,32,20,,,estelle rose,cushion +10; partner best-seller \#20 +22,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,baguette,Nova || Baguette,nova-baguette,28,22,,,nova,baguette +6; partner best-seller \#22 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,baguette,Marigold || Baguette,marigold-baguette-2,28,25,,,marigold,baguette +6; partner best-seller \#25 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,other,Azure,azure,26,22,,,azure,other +4; partner best-seller \#22 +22,,antique-cuts/shop-all-engagement-1,
wave1-A,pooja,ring,oval,1 TO 5 CT Contemporary Lab Grown Oval Cut Diamond Luna East-West Bezel Solitaire Ring in 10K/14K/18K Gold,1-to-5-ct-contemporary-lab-grown-oval-cut-diamond-luna-east-west-bezel-solitaire-ring-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,46,,1000,,contemporary luna east west bezel solitaire,oval +22; bezel +10; east-west +8; solitaire +6,,lab-grown-diamond-rings,2026-01-20
wave1-A,pooja,ring,oval,1 To 5 Ct Luxe Floating Oval Cut Lab Grown Diamond Three Stone Ring with Hidden Halo in 10K / 14K / 18K Gold,1-to-5-ct-luxe-floating-oval-cut-lab-grown-diamond-three-stone-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,45,,1100,,luxe floating three stone with hidden halo,oval +22; three stone +8; hidden halo +7; hidden +4; halo +2,,lab-grown-diamond-rings,2026-03-17
wave1-B,pooja,ring,oval,1 To 5 Ct Twisted Vine Hidden Halo Oval Cut Lab Grown Diamond Ring,1-to-5-ct-twisted-vine-hidden-halo-oval-cut-lab-grown-diamond-ring-pooja-diamond-igi-certified-lab-diamond,44,,1000,,twisted vine hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; vine +4; halo +2,,lab-grown-diamond-rings,2026-01-29
wave1-B,pooja,ring,round,1 To 5 Ct Luxe Floating Round Cut Lab Grown Diamond Three Stone Ring with Hidden Halo in 10K / 14K / 18K Gold,1-to-5-ct-luxe-floating-round-cut-lab-grown-diamond-three-stone-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,43,,1100,,luxe floating three stone with hidden halo,round +20; three stone +8; hidden halo +7; hidden +4; halo +2,,lab-grown-diamond-rings,2026-03-17
wave1-B,pooja,ring,oval,1 To 5 Ct Lab Grown Oval Cut Secret Halo Six-Prong Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-lab-grown-oval-cut-secret-halo-six-prong-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,43,,1000,,secret halo six prong with hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-27
wave1-B,pooja,ring,oval,1 To 5 Ct Lab Grown Oval Cut Secret Halo 2mm Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-lab-grown-marquise-cut-secret-halo-2mm-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,43,,1000,,secret halo mm with hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-27
wave1-B,pooja,ring,oval,1 TO 5 CT Elegant Lab Grown Oval Cut Petal Six Prong Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-elegant-lab-grown-oval-cut-petal-six-prong-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,43,,1050,,elegant petal six prong with hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-26
wave1-B,pooja,ring,oval,1 TO 5 CT Lab Grown Oval Cut Petal 1.5mm Diamond Ring in 10K/14K/18K Gold with Hidden Halo Gallery,1-to-5-ct-lab-grown-oval-cut-petal-1-5mm-diamond-ring-in-10k-14k-18k-gold-with-hidden-halo-gallery-pooja-diamond-igi-certified-lab-diamond,43,,1000,,petal mm with hidden halo gallery,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-21
wave1-B,pooja,ring,oval,1 TO 5 CT Lab Grown Oval Cut Diamond Mixed Metal Lumiere Diamond Ring in 10K/14K/18K Gold with Hidden Halo,1-to-5-ct-lab-grown-oval-cut-diamond-mixed-metal-lumiere-diamond-ring-in-10k-14k-18k-gold-with-hidden-halo-pooja-diamond-igi-certified-lab-diamond,43,,1000,,mixed metal lumiere with hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-21
wave1-B,pooja,ring,oval,1 TO 5 CT Lab Grown Oval Cut Lumiere 2mm Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-lab-grown-oval-cut-lumiere-2mm-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,43,,1050,,lumiere mm with hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-20
wave1-B,pooja,ring,oval,1 TO 5 CT Lab Grown Oval Cut Gwen Perfect Fit Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-lab-grown-oval-cut-gwen-perfect-fit-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,43,,1000,,gwen perfect fit with hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-19
wave1-B,pooja,ring,oval,1 TO 5 CT Lab Grown Oval Cut Esme Hidden Halo Diamond Ring with Hidden Accents in 10K/14K/18K Gold,1-to-5-ct-lab-grown-oval-cut-esme-hidden-halo-diamond-ring-with-hidden-accents-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,43,,1000,,esme hidden halo with hidden accents,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-17
wave1-B,pooja,ring,oval,1 TO 5 CT Luxury Oval Cut Lab Grown Diamond Ring with Elle Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-luxury-oval-cut-lab-grown-diamond-ring-with-elle-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-daimond,43,,1000,,luxury with elle hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-16
wave1-B,pooja,ring,oval,1 TO 5 CT Lab Grown Oval Cut Diamond Solitaire Ring in 10K/14K/18K Gold with Hidden Halo,1-to-5-ct-lab-grown-oval-cut-diamond-solitaire-ring-in-10k-14k-18k-gold-with-hidden-halo-luxury-engagement-ring-pooja-diamond-igi-certified-lab-daimond,43,,1150,,solitaire with hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-13
wave1-B,pooja,ring,oval,1 TO 5 CT Lab Grown Oval Cut Diamond Ring in 10K/14K/18K Gold with Hidden Halo,1-to-5-ct-lab-grown-oval-cut-diamond-ring-in-10k-14k-18k-gold-with-hidden-halo-luxury-solitaire-pooja-diamond-igi-certified-lab-daimond,43,,1050,,with hidden halo,oval +22; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-13
wave1-B,pooja,ring,round,1 To 5 Ct Twisted Vine Hidden Halo Round Cut Lab Grown Diamond Ring,1-to-5-ct-twisted-vine-hidden-halo-round-cut-lab-grown-diamond-ring-pooja-diamond-igi-certified-lab-diamond,42,,1000,,twisted vine hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; vine +4; halo +2,,lab-grown-diamond-rings,2026-01-29
wave1-B,pooja,ring,round,1 To 5 CT Round Cut Lab Grown Diamond Bezel Set Vintage Style Ring in Gold,round-cut-lab-grown-diamond-bezel-set-engagement-ring,42,,1150,,bezel set vintage style,round +20; bezel +10; solitaire +6; vintage +6,,lab-grown-diamond-rings,2025-12-16
wave1-B,pooja,ring,round,1 To 5 Ct Lab Grown Round Cut Secret Halo Six-Prong Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-lab-grown-round-cut-secret-halo-six-prong-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,41,,1000,,secret halo six prong with hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-27
wave1-B,pooja,ring,round,1 To 5 Ct Lab Grown Round Cut Secret Halo 2mm Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-lab-grown-round-cut-secret-halo-2mm-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,41,,1000,,secret halo mm with hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-27
wave1-B,pooja,ring,round,1 TO 5 CT Elegant Lab Grown Round Cut Petal Six Prong Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-elegant-lab-grown-round-cut-petal-six-prong-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,41,,1050,,elegant petal six prong with hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-26
wave1-B,pooja,ring,round,1 TO 5 CT Lab Grown Round Cut Petal 1.5mm Diamond Ring in 10K/14K/18K Gold with Hidden Halo Gallery,1-to-5-ct-lab-grown-round-cut-petal-1-5mm-diamond-ring-in-10k-14k-18k-gold-with-hidden-halo-gallery-pooja-diamond-igi-certified-lab-diamond,41,,1000,,petal mm with hidden halo gallery,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-21
wave1-B,pooja,ring,round,1 TO 5 CT Lab Grown Round Cut Diamond Mixed Metal Lumiere Diamond Ring in 10K/14K/18K Gold with Hidden Halo,1-to-5-ct-lab-grown-round-cut-diamond-mixed-metal-lumiere-diamond-ring-in-10k-14k-18k-gold-with-hidden-halo-pooja-diamond-igi-certified-lab-diamond,41,,1000,,mixed metal lumiere with hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-21
wave1-B,pooja,ring,round,1 TO 5 CT Lab Grown Round Cut Lumiere 2mm Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-lab-grown-round-cut-lumiere-2mm-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,41,,1050,,lumiere mm with hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-20
wave1-B,pooja,ring,round,1 TO 5 CT Lab Grown Round Cut Gwen Perfect Fit Diamond Ring with Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-lab-grown-round-cut-gwen-perfect-fit-diamond-ring-with-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,41,,1000,,gwen perfect fit with hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-19
wave1-B,pooja,ring,round,1 TO 5 CT Lab Grown Round Cut Esme Hidden Halo Diamond Ring with Hidden Accents in 10K/14K/18K Gold,1-to-5-ct-lab-grown-round-cut-esme-hidden-halo-diamond-ring-with-hidden-accents-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,41,,1000,,esme hidden halo with hidden accents,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-17
wave1-B,pooja,ring,round,1 TO 5 CT Luxury Round Cut Lab Grown Diamond Ring with Elle Hidden Halo in 10K/14K/18K Gold,1-to-5-ct-luxury-round-cut-lab-grown-diamond-ring-with-elle-hidden-halo-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-daimond,41,,1000,,luxury with elle hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-16
wave1-B,pooja,ring,round,1 TO 5 CT Lab Grown Round Cut Diamond Solitaire Ring in 10K/14K/18K Gold with Hidden Halo,1-to-5-ct-lab-grown-round-cut-diamond-solitaire-ring-in-10k-14k-18k-gold-with-hidden-halo-luxury-engagement-ring-pooja-diamond-igi-certified-lab-daimond,41,,1150,,solitaire with hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-13
wave1-B,pooja,ring,round,1 TO 5 CT Lab Grown Round Cut Diamond Ring in 10K/14K/18K Gold with Hidden Halo,1-to-5-ct-lab-grown-round-cut-diamond-ring-in-10k-14k-18k-gold-with-hidden-halo-luxury-solitaire-pooja-diamond-igi-certified-lab-daimond,41,,1050,,with hidden halo,round +20; hidden halo +7; hidden +4; solitaire +6; halo +2,,lab-grown-diamond-rings,2026-01-13
wave1-B,pooja,ring,emerald,1 TO 5 CT Contemporary Lab Grown Emerald Cut Diamond Luna East-West Bezel Solitaire Ring in 10K/14K/18K Gold,1-to-5-ct-contemporary-lab-grown-emerald-cut-diamond-luna-east-west-bezel-solitaire-ring-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,40,,1000,,contemporary luna east west bezel solitaire,emerald +16; bezel +10; east-west +8; solitaire +6,,lab-grown-diamond-rings,2026-01-20
wave1-B,pooja,ring,emerald,1 TO 5 CT Lab Grown Emerald Cut Diamond Bezel Set Ring in 10K/14K/18K Gold – Modern Solitaire Design,1-to-5-ct-lab-grown-asscher-cut-diamond-bezel-set-ring-in-10k-14k-18k-gold-modern-solitaire-design-pooja-diamonds-igi-certified-lab-diamond,34,,1100,,bezel set modern solitaire design,emerald +16; bezel +10; solitaire +6,,lab-grown-diamond-rings,2026-01-19
wave1-B,pooja,ring,emerald,2 To 5 CT Emerald Cut Lab Grown Diamond Solitaire Ring in Gold,emerald-cut-lab-grown-diamond-ring-4-prong-gold-solitaire-anniversary-ring,34,,1900,,solitaire,emerald +16; bezel +10; solitaire +6,,lab-grown-diamond-rings,2025-12-12
wave1-B,pooja,ring,emerald,1 To 3 CT Lab Grown Emerald Cut Bezel Three-Stone Diamond Ring,emerald-cut-three-stone-diamond-ring-with-half-moon-side-diamonds-bezel-set-gold-ring,34,,1150,,bezel three stone,emerald +16; bezel +10; three stone +8,,lab-grown-diamond-rings,2025-12-18
wave1-B,pooja,ring,emerald,1 TO 5 CT Lab Grown Emerald Cut Diamond Morgan East-West Solitaire Ring in 10K/14K/18K Gold – Classic Four Prong Setting,1-to-5-ct-lab-grown-emerald-cut-diamond-morgan-east-west-solitaire-ring-in-10k-14k-18k-gold-classic-four-prong-setting-pooja-diamond-igi-certified-lab-diamond,32,,1000,,morgan east west solitaire classic four prong setting,emerald +16; east-west +8; solitaire +6,,lab-grown-diamond-rings,2026-01-21
wave1-B,pooja,ring,radiant,1 TO 5 CT Lab Grown Radiant Cut Diamond Bezel Set Ring in 10K/14K/18K Gold – Modern Solitaire Design,1-to-5-ct-lab-grown-radiant-cut-diamond-bezel-set-ring-in-10k-14k-18k-gold-modern-solitaire-design-pooja-diamonds-igi-certified-lab-diamond,32,,1100,,bezel set modern solitaire design,radiant +14; bezel +10; solitaire +6,,lab-grown-diamond-rings,2026-01-19
wave1-B,pooja,ring,radiant,1 To 3 CT Lab Grown Radiant Cut Bezel Three-Stone Diamond Ring in Gold,radiant-cut-lab-grown-diamond-bezel-set-ring-luxury-three-stone-engagement-ring,32,,1100,,bezel three stone,radiant +14; bezel +10; three stone +8,,lab-grown-diamond-rings,2025-12-18
wave1-B,pooja,ring,emerald,1 To 5 CT Emerald Cut Lab Grown Diamond Signet Ring in Gold,men-s-emerald-cut-lab-grown-diamond-ring,31,,1200,,signet,emerald +16; bezel +10; signet +3,,lab-grown-diamond-rings,2025-12-13
wave1-B,pooja,ring,emerald,1 To 5 CT Begonia Vine Three Stone Lab-Grown Diamond Ring in 10K/14K/18K Gold – Emerald Cut Center with Marquise & Round Side Diamonds,1-to-5-ct-begonia-vine-three-stone-lab-grown-diamond-ring-in-10k-14k-18k-gold-emerald-cut-center-with-marquise-round-side-diamonds-pooja-diamond-igi-certified-lab-diamond,30,,1150,,begonia vine three stone center with side diamonds,emerald +16; three stone +8; vine +4,,lab-grown-diamond-rings,2026-02-13
wave1-B,pooja,ring,emerald,1 To 5 Ct Secret Garden Emerald Cut Lab Grown Diamond Three Stone Ring with Round & Marquise Leaf Accents in 10K/14K/18K Gold,1-to-5-ct-secret-garden-emerald-cut-lab-grown-diamond-three-stone-ring-with-round-marquise-leaf-accents-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,29,,1100,,secret garden three stone with leaf accents,emerald +16; three stone +8; leaf +3,,lab-grown-diamond-rings,2026-03-03
wave1-B,pooja,ring,asscher,1 TO 5 CT Vintage Style Asscher Cut Lab Grown Diamond Ring in 10K/14K/18K Gold,1-to-5-ct-vintage-style-asscher-cut-lab-grown-diamond-ring-in-10k-14k-18k-gold-igi-certified-lab-diamond,29,,1000,,vintage style,asscher +8; hidden halo +7; hidden +4; vintage +6; halo +2,,lab-grown-diamond-rings,2026-01-08
wave1-B,pooja,ring,emerald,1 TO 5 CT Lab Grown Emerald Cut Diamond Hidden Heart Solitaire Ring in 10K/14K/18K Gold,1-to-5-ct-lab-grown-emerald-cut-diamond-hidden-heart-solitaire-ring-in-10k-14k-18k-gold-classic-engagement-ring-igi-certified-lab-diamond,28,,1000,,hidden solitaire,emerald +16; hidden +4; solitaire +6,,lab-grown-diamond-rings,2026-01-19
wave1-B,pooja,ring,emerald,1 TO 5 CT Lab Grown Emerald Cut Hidden Heart Diamond Solitaire Ring with Diamond-Accented Gallery in 10K/14K/18K Gold,1-to-5-ct-lab-grown-emerald-cut-hidden-heart-diamond-solitaire-ring-with-diamond-accented-gallery-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,28,,1000,,hidden solitaire with accented gallery,emerald +16; hidden +4; solitaire +6,,lab-grown-diamond-rings,2026-01-19
wave1-B,pooja,ring,asscher,1 To 5 CT Asscher Cut Lab Grown Diamond Three-Stone Bezel Ring in Yellow Gold,asscher-cut-lab-grown-diamond-ring-with-baguette-side-stones-1,28,,1100,,three stone bezel yellow,asscher +8; bezel +10; three stone +8,,lab-grown-diamond-rings,2025-12-17
wave1-B,pooja,ring,emerald,1 To 5 CT Emerald Cut Lab Grown Diamond Wrap Ring in Gold,emerald-cut-lab-grown-diamond-solitaire-engagement-ring,28,,1200,,wrap,emerald +16; bezel +10,,lab-grown-diamond-rings,2025-12-13
wave1-B,pooja,ring,emerald,1 TO 5 Ct Vertical Baguette Three Stone Emerald Cut Lab-Grown Diamond Ring in 10K/14K/18K Gold,1-to-5-ct-vertical-baguette-three-stone-emerald-cut-lab-grown-diamond-ring-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,26,,1050,,vertical three stone,emerald +16; three stone +8,,lab-grown-diamond-rings,2026-04-09
wave1-B,pooja,ring,emerald,1 To 5 CT Symphony Tapered Baguette Three Stone Emerald Cut Lab-Grown Diamond Ring in 10K/14K/18K Gold,1-to-5-ct-symphony-tapered-baguette-three-stone-emerald-cut-lab-grown-diamond-ring-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,26,,1050,,symphony tapered three stone,emerald +16; three stone +8,,lab-grown-diamond-rings,2026-04-07
wave1-B,pooja,ring,emerald,1 To 5 Ct Sasha Emerald Cut Three Stone Marquise Lab-Grown Diamond Ring in 10K/14K/18K Gold,1-to-5-ct-sasha-emerald-cut-three-stone-marquise-lab-grown-diamond-ring-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,26,,1050,,sasha three stone,emerald +16; three stone +8,,lab-grown-diamond-rings,2026-04-02
wave1-B,pooja,ring,cushion,1 To 5 Ct Lab Grown Cushion Cut Diamond Bezel Solitaire Ring,cushion-cut-lab-grown-diamond-bezel-set-engagement-ring,26,,1300,,bezel solitaire,cushion +10; bezel +10; solitaire +6,,lab-grown-diamond-rings,2025-12-18
wave1-B,pooja,ring,hexagon,1 To 3 CT Lab Grown Hexagonal Cut Bezel Three-Stone Diamond Ring in Gold,hexagon-cut-lab-grown-diamond-engagement-ring-with-side-stones-modern-art-deco-gold-ring,26,,1500,,hexagonal bezel three stone,hexagon +4; bezel +10; three stone +8; antique +6,,lab-grown-diamond-rings,2025-12-18
wave1-B,pooja,ring,pear,1 To 5 Carat Open Pear Shape Lab Grown Diamond Ring in Yellow Gold,pear-cut-lab-grown-diamond-open-ring,26,,1400,,to carat open yellow,pear +14; bezel +10,,lab-grown-diamond-rings,2025-12-14
wave1-B,pooja,ring,marquise,1 To 5 CT Round Cut Lab Grown Diamond Solitaire Ring with Marquise Accents in Gold,floral-leaf-design-diamond-engagement-ring,25,,1050,,solitaire with accents,marquise +14; solitaire +6; nature inspired +5,,lab-grown-diamond-rings,2025-12-16
wave1-B,pooja,ring,pear,1 To 5 Ct Petite Fleur Pear Cut Three Stone Lab-Grown Diamond Ring in 10K/14K/18K Gold,1-to-5-ct-petite-fleur-pear-cut-three-stone-lab-grown-diamond-ring-with-pear-side-accents-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,24,,1050,,petite fleur three stone,pear +14; three stone +8,,lab-grown-diamond-rings,2026-03-27
wave1-B,pooja,ring,pear,1 To 5 CT Luxe Delilah Round Cut Lab Grown Diamond Three Stone Ring with Pear Side Diamonds in 10K / 14K / 18K Gold,1-to-5-ct-luxe-delilah-round-cut-lab-grown-diamond-three-stone-ring-with-pear-side-diamonds-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,24,,1100,,luxe delilah three stone with side diamonds,pear +14; three stone +8,,lab-grown-diamond-rings,2026-03-13
wave1-B,pooja,ring,marquise,1 To 5 CT Marquise Shape Lab Grown Diamond Bezel Set Ring in Gold,lab-created-marquise-diamond-bezel-ring,24,,1300,,bezel set,marquise +14; bezel +10,,lab-grown-diamond-rings,2025-12-13
wave1-B,pooja,ring,other,1 TO 5 CT Lab Grown Cuhsion Cut Diamond Julietta Bezel Solitaire Ring in 10K/14K/18K Gold,1-to-5-ct-lab-grown-cuhsion-cut-diamond-julietta-bezel-solitaire-ring-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,22,,1000,,cuhsion julietta bezel solitaire,other +4; bezel +10; solitaire +6,,lab-grown-diamond-rings,2026-01-20
wave1-B,pooja,ring,hexagon,1 To 3 CT Lab Grown Hexagonal Cut Three-Stone Diamond Ring in Gold,modern-bezel-set-hexagonal-cut-lab-diamond-engagement-ring,22,,1500,,hexagonal three stone,hexagon +4; bezel +10; three stone +8,,lab-grown-diamond-rings,2025-12-18
wave1-B,pooja,ring,hexagon,1 To 3 CT Hexagonal Cut Lab Grown Diamond Three-Stone Ring in Rose Gold,hexagonal-cut-lab-grown-diamond-bezel-set-three-stone-ring,22,,1400,,hexagonal three stone rose,hexagon +4; bezel +10; three stone +8,,lab-grown-diamond-rings,2025-12-18
wave1-B,pooja,ring,radiant,1 To 5 CT Radiant Cut Pink Lab Grown Diamond Double Halo Ring in White Gold,1-to-5-ct-radiant-cut-pink-lab-grown-diamond-double-halo-ring-in-white-gold-luxury-engagement-ring-pooja-diamond,18,,4600,pink,pink double halo white,radiant +14; halo +2; fancy colour pink,,lab-grown-diamond-rings,2025-12-27
wave1-B,pooja,ring,radiant,1 To 5 CT Radiant Cut Blue Lab Grown Diamond Double Halo Ring in Rose Gold,1-to-5-ct-radiant-cut-blue-lab-grown-diamond-double-halo-ring-in-rose-gold-luxury-engagement-ring-pooja-diamond,18,,4400,blue,blue double halo rose,radiant +14; halo +2; fancy colour blue,,lab-grown-diamond-rings,2025-12-27
wave1-B,pooja,ring,pear,1 To 5 CT Pear Cut Lab Grown Diamond Halo Ring in Yellow Gold,pear-shape-lab-grown-diamond-halo-ring,18,,1800,,halo yellow,pear +14; halo +2,,lab-grown-diamond-rings,2025-12-14
wave1-B,pooja,ring,pear,Multi-Row Pear & Round Lab Grown Diamond Spiral Wrap Ring in Yellow Gold,pear-round-lab-grown-diamond-wrap-ring,16,,1150,,multi row spiral wrap yellow,pear +14,,lab-grown-diamond-rings,2025-12-17
wave1-B,pooja,ring,marquise,Round Cut Lab Grown Diamond Engagement Ring with Marquise Side Diamonds in Yellow Gold,classic-round-lab-grown-diamond-ring,16,,1800,,engagement with side diamonds yellow,marquise +14,,lab-grown-diamond-rings,2025-12-15
wave1-B,pooja,ring,radiant,1 To 5 CT Radiant Cut Lab Grown Diamond Double Halo Ring in Gold,radiant-cut-lab-grown-diamond-double-halo-ring,16,,3000,,double halo,radiant +14; halo +2,,lab-grown-diamond-rings,2025-12-15
wave1-B,pooja,ring,marquise,2 To 4 CT Double Marquise Lab Grown Diamond Bypass Ring in Gold,double-marquise-lab-grown-diamond-bypass-ring,16,,3600,,double bypass,marquise +14,,lab-grown-diamond-rings,2025-12-13
wave1-B,pooja,ring,marquise,2 To 5 CT Marquise Cut Lab Grown Diamond Engagement Ring with Side Stones in Gold,lab-grown-marquise-cut-diamond-engagement-ring,16,,2400,,engagement with side stones,marquise +14,,lab-grown-diamond-rings,2025-12-13
wave1-B,pooja,ring,pear,Pear & Marquise Lab Grown Diamond Tiara Ring in Gold,contemporary-pear-marquise-lab-grown-diamond-ring,14,,900,,tiara,pear +14,,lab-grown-diamond-rings,2025-12-17
wave1-B,pooja,ring,other,1 TO 5 CT Lab Grown Peincess Cut Diamond Atelier Solitaire Ring in 10K/14K/18K Gold,1-to-5-ct-lab-grown-asscher-cut-diamond-atelier-solitaire-ring-in-10k-14k-18k-gold-twisted-band-engagement-ring-igi-certified-lab-daimond-6,12,,1000,,peincess atelier solitaire,other +4; solitaire +6,,lab-grown-diamond-rings,2026-01-12
wave1-B,pooja,ring,other,2 To 5 CT Leaf Inspired Lab Grown Diamond Ring in Gold,designer-leaf-shaped-lab-grown-diamond-ring,9,,3900,,leaf inspired,other +4; leaf +3,,lab-grown-diamond-rings,2025-12-13
wave1-B,pooja,ring,other,Mix Shape Lab Grown Diamond Spiral Wrap Ring in Gold,designer-lab-grown-diamond-wrap-ring-marquise-round-cuts,6,,1150,,mix spiral wrap,other +4,,lab-grown-diamond-rings,2025-12-17
